Data,FrStudioExtensions,PUESCNotifier,FcsMessaging,FcsExtensions,DocFSadExporter,PuescValidator,FrPuescDicts,FcsReporting,FcsXmlVisualisers,H7-USZ-WEB
2021-01-11,,,,01:18,,,06:42,,,
2021-01-13,,,,08:00,,,,,,
2021-01-14,,,,01:13,,06:47,,,,
2021-01-19,,,,00:57,,07:03,,,,
2021-01-20,,,,08:05,,,,,,
2021-01-21,,,,04:52,,03:08,,,,
2021-01-25,,,,,,08:00,,,,
2021-01-26,,,,,,00:36,,07:24,,
2021-01-28,,,,,,,01:15,06:45,,
2021-02-01,,,,,,,05:53,02:07,,
2021-02-02,,,,,,,00:08,07:52,,
2021-02-03,,,,,,,07:43,00:17,,
2021-02-04,,,,,00:01,01:19,06:37,00:03,,
2021-02-05,,,,,,07:02,00:58,,,
2021-02-09,,,,,,08:17,00:17,,,
2021-02-10,,,,,,08:26,,,,
2021-02-12,,,,,,04:34,03:26,,,
2021-02-15,,,,,,06:08,01:52,,,
2021-02-16,,,,,,,00:14,08:14,,
2021-02-17,,,,,01:30,03:47,,02:43,,
2021-02-18,00:08,,,,01:23,,,06:29,,
2021-02-19,,,01:35,,,,,06:25,,
2021-02-24,,,07:38,,,,,00:22,,
2021-03-02,,,00:58,,,,,07:02,,
2021-03-04,,,,,,06:32,,01:28,,
2021-03-05,,,,,,08:00,,,,
2021-03-08,,,05:06,,,02:54,,,,
2021-03-11,,02:03,03:40,,,,,02:17,,
2021-03-17,,,,01:40,,,,06:20,,
2021-03-22,,,,01:32,,,,06:28,,
2021-03-23,,,,01:20,,,,06:40,,
2021-03-24,,,,04:45,,,,03:15,,
2021-03-25,,,,06:54,,,,01:06,,
2021-03-30,,,,00:35,,,,07:25,,
2021-03-31,,,,,,00:12,,07:48,,
2021-04-01,,,,02:55,,,,05:05,,
2021-04-02,,,,08:00,,,,,,
2021-04-05,,,,08:00,,,,,,
2021-04-06,,,,08:00,,,,,,
2021-04-07,,,,08:00,,,,,,
2021-04-08,,,,08:00,,,,,,
2021-04-09,,,,08:00,,,,,,
2021-04-12,,,,00:28,,,,07:32,,
2021-04-13,,,,08:00,,,,,,
2021-04-14,,,,04:49,,,,03:11,,
2021-04-15,,,,,,,,08:00,,
2021-04-16,00:55,,,08:35,,,,01:30,00:00,
2021-04-23,,,,08:00,,,,,,
2021-04-26,,,,00:36,,,,08:36,,
2021-04-27,,,,03:01,,,,04:59,,
2021-04-28,,,,00:52,,,,08:52,,
2021-04-29,,,,,,,,08:00,,
2021-05-03,,,,,,,,08:00,,
2021-05-04,,,,,,,,08:00,,
2021-05-07,,,,,,,,02:22,,05:38
2021-05-11,,,,,,,,03:08,,04:52
2021-05-12,,,,,,,,05:03,,02:57
2021-05-13,,,,,,,,06:30,,01:30
2021-06-02,,,,,,01:51,,,,06:09
2021-06-03,,,,,,08:00,,,,
2021-06-04,,,,,,05:55,,,02:05,
2021-06-07,,,,,,,,,03:20,04:40
2021-06-10,,,,02:05,,,,,,05:55
2021-06-14,,,,10:14,,,,,,
2021-06-17,,,,05:18,,,,,,02:42
2021-06-18,,,,05:52,,,,,02:08,
2021-06-23,,,,04:38,,,,,03:39,
2021-06-24,,,,04:50,,,,,03:10,
2021-06-25,,,,,,,,,08:00,
2021-06-29,,,,,,,,,06:01,01:59
2021-06-30,,,,,,,,,,08:00
2021-07-01,,,,,,,,,,08:00
2021-07-02,,,02:35,,,,,,,05:25
2021-07-05,,,08:00,,,,,,,
2021-07-06,,,05:55,,,02:05,,,,
2021-07-12,,,08:00,,,,,,,
2021-07-13,,,08:00,,,,,,,
2021-07-15,,,08:00,,,,,,,
2021-07-16,,,08:00,,,,,,,
2021-07-19,,,08:00,,,,,,,
2021-07-20,,,01:04,01:24,,00:34,,07:06,,
